Header,Skills,Image_Path
Marketing Technologist,"Project management skill , writing verbal communication skill , tech skill ( like HTML + CSS ) , experience online marketing strategy concept ( like growth hacking + headline testing ) , quick learn new technology , Google Analytics , project management ( like Asana ) email service ( like Mailchimp ) .","marketingTechnologist.jpg"
SEO Consultant,"Growth/data analysis , A/B Testing , Google Analytics , storytelling , branding , written communication","seoConsultant.png"
Web Analytics Developer,"Experience analytics software Omniture , Google Analytics , Coremetrics , Webtrends , comScore","webAnalyticsDeveloper.jpg"
Digital Marketing Manager,"Email marketing , SEO web analytics , branding storytelling , A/B testing","digitalMarketingManager.jpg"
Social Media Manager,"Expert familiarity platform like Facebook , Instagram , Google+ , Twitter , YouTube , Pinterest , Tumblr , Snapcha ; data analysis ; writing communication ; branding storytelling","socialMediaManager.png"
Growth Hacker,"analytics SEO , conversion rate optimization , traction testing , lead growth marketing","growthHacking.png"
Content Manager,"Writing , editing , storytelling , email marketing , AB testing , traction testing , expertise content management system ( CMS ) like WordPress varied task ’ content manager.","contentManager.jpeg"
Content Strategist,"writing , editing , storytelling ; email marketing ; A/B testing ; traction testing ; expertise content management system ( CMS ) like WordPress Average US Salary : $ 74,000","contentMarketingStrategy.jpg"
Information Architect,"web analytics , organize information , translate user behavior site structure , Git + GitHub","informationArchitect.jpg"
UX Designer,"HTML , CSS , JavaScript , wireframing tool , version control tool , data analysis , Git + GitHub","uxDesign.png"
UI Designer,"Photoshop , wireframing , prototyping tool , HTML , CSS , JavaScript , Git + GitHub","uiDesign.png"
Accessibility Specialist,"experience assistive technology ( like screen reader , screen magnifier , etc . ) , experience human/computer interaction , prototyping , wireframing , data analysis","accessibilitySpecialist.png"
Interaction Designer,"HTML , CSS , JavaScript , jQuery , framework , Git + GitHub","interactionDesign.png"
Front-End Designer,"HTML , CSS , SASS , sometimes JavaScript , jQuery , front-end framework","frontend.png"
Front-End Developer,"Git + GitHub , JavaScript , jQuery , Grunt/Gulp , SASS , HTML , CSS , framework like Bootstrap , Node.js , AngularJS , Ember.js .","frontendDev.jpg"
Mobile Developer,"Git + GitHub , iOs , Android , language like Ruby , Objective-C , Java","mobileDev.jpg"
Full-Stack Developer,"Anything ! ! Git + GitHub , HTML , CSS , SASS , JavaScript , Java , MySQL , Ruby , Python , Responsive Web Design , jQuery , framework , PHP , Apache","fullStack.png"
Software Developers,"Git + GitHub , skill like HTML , CSS , SASS , JavaScript , Java , MySQL , Ruby , Python , Responsive Web Design , jQuery , framework , PHP , Apache , etc .","softwareDev.png"
WordPress Developer,"Git + GitHub , PHP , HTML , CSS","wordPressDev.jpg"
Frameworks Specialist,"Git + GitHub , HTML , CSS , JavaScript , jQuery , framework like Node.js , AngularJS , Ember.js , etc .","frameworkSpecialist.jpg"
Ruby on Rails Developer,"+ GitHub , HTML , CSS , JavaScript , Ruby Rails , SQL , JS library","rubyOnRailsDeveloper,jpg"
Python Developer,"Git + GitHub , HTML , CSS , Python , Django , JavaScript , jQuery","pythonDev.jpg"
Business Systems Analyst,"familiarity system software , diplomatic effective communicator","businessSysAnalytics.png"
Systems Engineer,"expert knowledge software hardware , focused problem-solving","sysEng.jpg"
Systems Administrator,"hands-on experience operating system equipment , good organizational skill , attention detail","sysAdmin.jpg"
Database Administrator,"organized , detail-oriented , hand experience data","dbAdmin.jpg"
Data Architect,"understanding database data storage , systematic thinking","dataArc.png"
Data Modeler,"information science training , conceptual practical thinking","dataModel.png"
Data Analyst,"understanding database storage , attention detail , ability communicate finding clearly concisely","dataAnalyst.png"
Data Scientist,"excellent analytical modelling skill , deep understanding organization ’ situation strategy","datSci.png"
Cloud Architect,"knowledge cloud technology provider , ability work closely vendor adapt quickly-changing technology ."cloudArchitect.jpg"
Technical Lead,"programming prowess leadership ability , team-building skill , process goal focused","techLead.jpg"
DevOps Manager,"broad knowledge technology , great communicator , enjoys promotes teamwork","devOps.png"
Agile Project Manager,"knowledge agile technique , team management skill , problem solver","agile.jpg"
Product Manager,"strong technical background , interacts well different group , analytical","prodManager.jpg"
Technical Account Manager,"customer-focused , understanding technology , great communicator","techAM.png"
Security Specialist,"in-depth knowledge system security threat best practice , analytical skill , interest staying up-to-date change industry","securitySpecialist.jpg"
QA (Quality Assurance) Specialist,"independent , detail-oriented , systematic , analytical","QA.png"
Game Developer,"technical chop area expertise , creativity , interest latest development trend , tolerance tight deadline","game.png"
Computer Graphics Animator,"mastery animation tool technology , creativity , artistry , teamwork skill","comGraphic.jpg"
Mobile App Developer,"mobile programming skill , UX/UI design , desire learn new technology keep trend , ability work pressure","mobileApp.jpg"

